id,parent_id,name,newtagid,newtagname,rank,uid,addtime
1,0,广场舞,,,0,25,2016-04-01 00:00:00.0
2,0,双人舞,,,0,25,2016-04-14 00:00:00.0
3,1,大众广场舞,266,大众广场舞,1460454405,25,2016-04-07 00:00:00.0
4,1,16步,267,16步,1460454402,25,2016-04-13 00:00:00.0
5,1,32步,268,32步,0,25,2016-04-12 17:28:19.0
6,1,现代舞,319,现代舞,0,7,2018-07-05 10:22:09.0
7,1,变队形,271,变队形,0,25,2016-04-12 17:30:51.0
9,1,排舞,270,排舞,0,25,2016-04-12 17:31:03.0
10,1,兔子舞,320,兔子舞,0,25,2016-04-12 17:31:09.0
11,2,水兵舞,,,0,25,2016-04-12 18:00:12.0
12,2,交谊舞,275,交谊舞,0,25,2016-04-12 18:00:19.0
14,2,三步踩,276,三步踩,0,25,2016-04-12 18:00:34.0
15,2,探戈,277,探戈,0,25,2016-04-12 18:00:42.0
16,0,健身操,,,0,25,2016-04-12 18:05:22.0
17,16,佳木斯,282,佳木斯,0,25,2016-04-12 18:05:30.0
18,16,瘦身操,281,瘦身操,0,25,2016-04-12 18:05:37.0
19,16,大众健身操,280,大众健身操,0,25,2016-04-12 18:05:43.0
20,0,民族舞,,,0,25,2016-04-12 18:05:53.0
21,0,拉丁舞,,,0,25,2016-04-12 18:06:01.0
22,0,形体舞,301,形体舞,0,25,2016-04-12 18:06:07.0
23,20,蒙古舞,287,蒙族舞,0,25,2016-04-12 18:06:19.0
24,20,秧歌,290,秧歌,0,25,2016-04-12 18:06:26.0
25,20,新疆舞,288,新疆舞,0,25,2016-04-12 18:06:33.0
26,20,藏族舞,285,藏族舞,0,25,2016-04-12 18:06:40.0
27,20,傣族舞,289,傣族舞,0,25,2016-04-12 18:06:47.0
28,21,恰恰,294,恰恰,0,25,2016-04-12 18:07:02.0
29,21,伦巴,295,伦巴,0,25,2016-04-12 18:07:08.0
30,21,牛仔舞,297,牛仔,0,25,2016-04-12 18:07:15.0
31,21,桑巴,296,桑巴,0,25,2016-04-12 18:07:22.0
32,21,斗牛舞,298,斗牛舞,0,25,2016-04-12 18:07:29.0
33,22,古典舞,302,古典舞,0,25,2016-04-12 18:07:37.0
34,22,芭蕾舞,,,0,25,2016-04-12 18:07:42.0
36,0,其他,,,0,25,2016-04-13 13:56:04.0
37,36,肚皮舞,316,肚皮舞,0,25,2016-04-13 13:56:09.0
38,36,印度舞,315,印度舞,0,25,2016-04-13 13:56:14.0
39,36,鬼步舞,,,0,25,2016-04-13 13:56:20.0
40,36,爵士舞,313,爵士舞,0,25,2016-04-13 13:56:26.0
41,36,尊巴,318,尊巴,0,25,2016-04-13 13:56:31.0
42,36,瑜伽,331,瑜伽,0,25,2016-04-13 13:56:35.0
43,36,经络操,336,经络操,0,25,2016-04-13 13:56:42.0
44,2,双人对跳,274,双人对跳,1460527027,25,2016-04-13 13:57:00.0
45,22,抒情形体舞,303,抒情舞,0,25,2016-04-15 15:08:52.0
46,20,云贵川,291,云贵川,0,25,2016-04-19 17:32:46.0
47,0,时尚,,,0,5,2017-01-20 09:08:00.0
48,47,发型,,,0,5,2017-01-20 09:08:16.0
49,47,美甲,,,0,5,2017-01-20 09:08:25.0
50,47,搭配,,,0,5,2017-01-20 09:08:43.0
51,47,化妆,,,0,5,2017-01-20 09:08:56.0
