id,type,pid,rec_field,name,tag_type,utag_flag,tag_show,status,created_at,updated_at
1,1,0,content_dance,舞蹈类型,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
2,1,1,content_dance,广场舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
3,1,2,content_dance,大众广场舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
4,1,2,content_dance,16步,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
5,1,2,content_dance,32步,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
6,1,2,content_dance,中三舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
7,1,2,content_dance,排舞,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
8,1,2,content_dance,变队形,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
9,1,1,content_dance,双人舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
10,1,9,content_dance,双人对跳,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
11,1,9,content_dance,交谊舞,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
12,1,9,content_dance,三步踩,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
13,1,9,content_dance,探戈,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
14,1,1,content_dance,健身操,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
15,1,14,content_dance,大众健身操,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
16,1,14,content_dance,瘦身操,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
17,1,14,content_dance,佳木斯,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
18,1,14,content_dance,减肥操,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
19,1,1,content_dance,民族舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
20,1,19,content_dance,藏族舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
21,1,19,content_dance,蒙族舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
22,1,19,content_dance,新疆舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
23,1,19,content_dance,傣族舞,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
24,1,19,content_dance,秧歌,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
25,1,19,content_dance,云贵川,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
26,1,1,content_dance,拉丁舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
27,1,26,content_dance,恰恰,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
28,1,26,content_dance,伦巴,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
29,1,26,content_dance,桑巴,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
30,1,26,content_dance,牛仔,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
31,1,26,content_dance,斗牛舞,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
32,1,1,content_dance,古典形体舞,1,1,1,1,2019-06-26 16:34:17,2019-06-26 16:34:17
33,1,32,content_dance,形体舞,1,1,1,0,2019-06-26 16:34:17,2019-06-26 16:34:17
